iter	AUC	CrossEntropy
0	0.7986227274	0.6834947807
1	0.7991401255	0.6743907862
2	0.79929322	0.6661036657
3	0.7999695539	0.658326072
4	0.8005082905	0.6506340724
5	0.8004996777	0.6436683778
6	0.8003114164	0.6370947274
7	0.8007652462	0.6308950562
8	0.8010954857	0.6250262613
9	0.8015301526	0.6194936033
10	0.8023541868	0.6142397069
11	0.8023599684	0.6092766424
12	0.8025577962	0.6045827565
13	0.8030003309	0.6001383124
14	0.8029591143	0.5959305057
15	0.8028362095	0.5919316478
16	0.8029000163	0.5881569491
17	0.803134948	0.5842411977
18	0.8032498062	0.5808616423
19	0.8037319779	0.5776442628
20	0.8036350012	0.5745820453
21	0.8036185801	0.5717003948
22	0.8037416339	0.568641358
23	0.8038084507	0.5660472365
24	0.8038847148	0.5633022754
25	0.8043957353	0.5609839385
26	0.8043014109	0.5587693013
27	0.804415375	0.556389919
28	0.8045042753	0.5544392
29	0.8045518696	0.5525146199
30	0.8046461344	0.5507461805
31	0.8047029376	0.5490020859
32	0.8048128784	0.5471098024
33	0.805021733	0.5455923136
34	0.8049524724	0.5440720112
35	0.8052223921	0.5426559385
36	0.8052982688	0.5413312503
37	0.8054011762	0.5400156557
38	0.8055243492	0.538596443
39	0.8055922985	0.5374574599
40	0.805876255	0.5361679635
41	0.8060156107	0.5350888432
42	0.8060394526	0.5341120768
43	0.8060327172	0.5331216496
44	0.8064403832	0.5322308442
45	0.806499809	0.5313303336
46	0.8066297174	0.5305150906
47	0.8068104386	0.5296957291
48	0.8071928322	0.5289498911
49	0.807292074	0.5281982218
50	0.807405144	0.5274872494
51	0.8075047731	0.5268383826
52	0.8075515926	0.5261888633
53	0.8077118099	0.5254791143
54	0.8078098893	0.5249273002
55	0.8080282509	0.5243590116
56	0.8081997633	0.523850545
57	0.808367312	0.5232598283
58	0.8084240258	0.5227023052
59	0.8084827363	0.522235922
60	0.8087616265	0.5218151291
61	0.808929801	0.5213228108
62	0.8092385828	0.5209101735
63	0.8094437122	0.5205525057
64	0.8095226884	0.5201724505
65	0.809666425	0.5198203693
66	0.809681356	0.5194367255
67	0.8097045124	0.5190759177
68	0.8098264933	0.5187969115
69	0.8100164533	0.5185017571
70	0.8100760877	0.5182447304
71	0.810066551	0.5179738392
72	0.8100917339	0.5177453167
73	0.8101793528	0.5175019508
74	0.8102564216	0.5172676786
75	0.8102829158	0.5170685982
76	0.8104662299	0.5168536141
77	0.8105250299	0.5166720277
78	0.8105670512	0.5164785747
79	0.8106171191	0.5163133811
80	0.8107349575	0.5161327326
81	0.8108634353	0.515975654
82	0.8109114468	0.51595135
83	0.8110533357	0.5157836282
84	0.8112183213	0.5156225533
85	0.8113431036	0.5154868426
86	0.8112026453	0.5154720808
87	0.8112906814	0.5153324553
88	0.811442256	0.5152022905
89	0.8115578294	0.515069312
90	0.8115793169	0.5149368635
91	0.8117284179	0.5148246004
92	0.8118084669	0.5147098906
93	0.8118375838	0.5146155293
94	0.8118216693	0.5145101578
95	0.8118987083	0.5144194665
96	0.8119187951	0.5143251459
97	0.8118596375	0.5143060208
98	0.8119513392	0.5142205084
99	0.8119688332	0.5141343027
100	0.8119945824	0.5141196632
101	0.8120416999	0.5141020062
102	0.8120296896	0.5140866327
103	0.812075913	0.5140710553
104	0.8120449483	0.5140626142
105	0.812088728	0.5139798747
106	0.8120827079	0.5139078192
107	0.8121342659	0.5138926088
108	0.812104851	0.5138166793
109	0.8121726513	0.5137395265
110	0.8122436404	0.5136782364
111	0.8121842742	0.5136698769
112	0.8122050762	0.5136577249
113	0.8122142851	0.5136448389
114	0.8122559786	0.5135766981
115	0.8123016953	0.5135210763
116	0.8123035431	0.5135068446
117	0.8123690486	0.5134374804
118	0.8123880923	0.5133689726
119	0.8124539852	0.5133178364
120	0.8125049174	0.513258096
121	0.812543422	0.5132108745
122	0.8125565648	0.5131950933
123	0.8126270473	0.5131811063
124	0.8126835823	0.5131694844
125	0.8127708435	0.5131096216
126	0.8127551973	0.5130937588
127	0.8127367795	0.5130825855
128	0.8127568364	0.5130699442
129	0.8127898872	0.5130137107
130	0.8128898144	0.5129993975
131	0.8128649294	0.5129820666
132	0.8129020929	0.5129366394
133	0.8129737675	0.5129219184
134	0.812977165	0.5129049545
135	0.8130428195	0.5128915792
136	0.8130216002	0.5128773068
137	0.8129865527	0.512861607
