iter	Passed	Remaining
0	54	84457
1	111	86828
2	157	81816
3	206	80156
4	250	77946
5	292	75616
6	332	73684
7	379	73492
8	424	73058
9	470	72858
10	512	72094
11	558	71979
12	603	71756
13	650	71771
14	695	71557
15	736	70985
16	780	70706
17	823	70467
18	872	70708
19	917	70545
20	957	70093
21	1008	70438
22	1056	70525
23	1110	70981
24	1163	71356
25	1213	71482
26	1262	71569
27	1319	72095
28	1362	71857
29	1405	71592
30	1451	71485
31	1505	71808
32	1551	71696
33	1603	71882
34	1662	72338
35	1728	73095
36	1776	73026
37	1821	72872
38	1884	73408
39	1940	73630
40	1995	73849
41	2053	74122
42	2105	74182
43	2156	74206
44	2214	74443
45	2266	74509
46	2315	74453
47	2373	74662
48	2428	74773
49	2483	74904
50	2544	75194
51	2598	75246
52	2653	75344
53	2711	75511
54	2769	75691
55	2825	75795
56	2875	75732
57	2931	75808
58	2982	75770
59	3032	75701
60	3078	75554
61	3128	75492
62	3184	75570
63	3248	75831
64	3295	75702
65	3349	75716
66	3399	75662
67	3457	75766
68	3513	75825
69	3563	75754
70	3616	75746
71	3664	75639
72	3719	75659
73	3769	75583
74	3814	75433
75	3868	75442
76	3920	75398
77	3976	75454
78	4026	75376
79	4070	75205
80	4121	75156
81	4170	75073
82	4209	74810
83	4262	74797
84	4311	74723
85	4365	74715
86	4409	74550
87	4462	74538
88	4522	74638
89	4577	74663
90	4625	74574
91	4678	74549
92	4725	74443
93	4773	74345
94	4818	74208
95	4876	74263
96	4923	74161
97	4968	74013
98	5016	73931
99	5064	73845
100	5113	73765
101	5153	73560
102	5193	73368
103	5241	73282
104	5287	73171
105	5336	73098
106	5383	73008
107	5434	72964
108	5480	72854
109	5529	72794
110	5575	72686
111	5622	72585
112	5667	72468
113	5709	72320
114	5758	72258
115	5809	72218
116	5857	72144
117	5904	72059
118	5956	72028
119	6004	71958
120	6060	71977
121	6111	71939
122	6153	71796
123	6207	71788
124	6257	71731
125	6309	71709
126	6359	71660
127	6407	71585
128	6452	71481
129	6504	71447
130	6553	71385
131	6600	71302
132	6659	71352
133	6710	71310
134	6756	71213
135	6808	71189
136	6859	71146
137	6904	71048
138	6964	71094
139	7012	71024
140	7061	70962
141	7112	70922
142	7167	70922
143	7226	70960
144	7287	71013
145	7337	70958
146	7391	70950
147	7438	70865
148	7490	70832
149	7536	70743
150	7592	70744
151	7636	70634
152	7682	70550
153	7738	70547
154	7790	70512
155	7840	70461
156	7902	70519
157	7952	70464
158	8006	70442
159	8056	70396
160	8112	70396
161	8171	70419
162	8221	70364
163	8270	70301
164	8341	70425
165	8397	70416
166	8447	70362
167	8497	70305
168	8553	70302
